Sub Classification,Brand,Dosage Form,Unit of Measure ,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight ,Freight Cost
65,71,84,60,3480,7864.8,2.26,0.04,424,11941.65
65,71,84,30,31000,401760,12.96,0.43,3674,22904.03
65,71,84,30,180000,1893600,10.52,0.35,26361,20761
65,71,84,30,13481,44891.73,3.33,0.11,1296,20761
65,71,84,60,19683,44483.58,2.26,0.04,1733,20893.21
65,71,84,60,6246,43722,7,0.12,18808,123945
65,71,84,30,4032,13426.56,3.33,0.11,336,4385.44
65,71,84,60,58920,505533.6,8.58,0.14,6560,8057.2
80,71,84,90,6823,49807.9,7.3,0.08,428,2376
65,71,84,30,40250,134032.5,3.33,0.11,4223,4044.33
65,71,84,120,8599,187286.22,21.78,0.18,2293,4529.67
65,71,84,30,12567,154574.1,12.3,0.41,1482,5474
65,71,84,60,21158,153818.66,7.27,0.12,3653,15614.89
80,71,84,90,71,660.3,9.3,0.1,395,1303
65,71,84,60,6141,42987,7,0.12,741,3810.39
65,71,84,30,20160,224784,11.15,0.37,22074,21108.57
80,71,67,60,6097,14023.1,2.3,0.04,12213,7607.2
65,71,84,60,75000,643500,8.58,0.14,22700,20225.07
65,71,84,60,10916,71390.64,6.54,0.11,652,8242.72
65,71,84,60,79999,180797.74,2.26,0.04,9404,14088.22
65,71,84,60,1016,5669.28,5.58,0.09,615,8420.68
80,71,79,240,6032,11762.4,1.95,0.01,2572,16754.32
65,71,84,30,44840,499966,11.15,0.37,5065,5419.21
65,71,84,120,1784,37464,21,0.18,475,3332.73
80,71,79,240,11000,15950,1.45,0.01,3930,9378.14
80,71,67,60,70000,272300,3.89,0.06,3922,26340
80,71,67,60,92045,358055.05,3.89,0.06,5103,11604.57
65,65,84,120,909,17743.68,19.52,0.16,8820,3541.59
65,71,84,60,16000,112000,7,0.12,1412,20049.08
65,71,84,60,39600,327096,8.26,0.14,17181,15814.01
65,71,84,30,80071,892791.65,11.15,0.37,18838,7928.11
65,71,84,30,8609,41409.29,4.81,0.16,873,15000
80,71,67,60,115211,432041.25,3.75,0.06,6428,15847.19
65,71,84,60,6350,35433,5.58,0.09,320,1300
65,71,84,30,90000,946800,10.52,0.35,24375,15847.18
65,71,84,30,29993,140967.1,4.7,0.16,4883,7708.3
80,71,84,60,2200,8800,4,0.07,105,2151.95
65,71,84,60,35533,153502.56,4.32,0.07,7654,7928.11
65,71,84,30,66946,727703.02,10.87,0.36,36903,7928.11
65,71,84,30,46066,500737.42,10.87,0.36,5175,3541.59
65,71,84,60,1700,3791,2.23,0.04,2699,4063.81
65,71,84,60,10000,113600,11.36,0.19,3118,4768.06
65,71,84,60,489,5555.04,11.36,0.19,2045,16083.32
65,71,84,60,40035,330689.1,8.26,0.14,16851,23776.41
65,71,84,30,20921,122806.27,5.87,0.2,6692,6010.2
65,71,84,60,7693,51773.89,6.73,0.11,6909,4947.38
65,71,84,60,2167,4897.42,2.26,0.04,211,3531.86
80,71,79,240,26200,48732,1.86,0.01,5343,12803.35
65,71,84,60,10391,23171.93,2.23,0.04,633,886.11
65,71,84,30,10000,46400,4.64,0.15,8889,33073.6
65,71,84,60,6750,75802.5,11.23,0.19,4919,17647.73
65,71,84,60,49,550.27,11.23,0.19,5,660.43
65,71,84,30,2381,11047.84,4.64,0.15,3703,8469.67
65,71,84,60,440,765.6,1.74,0.03,27,800
80,71,79,240,1222,2175.16,1.78,0.01,825,6380.09
65,71,84,30,116931,1260516.18,10.78,0.36,13280,7083.18
80,71,67,60,6799,25496.25,3.75,0.06,292,1672.7
