Sub Classification,Brand,Dosage Form,Unit of Measure ,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight ,Freight Cost
65,71,84,60,100000,811000,8.11,0.14,12199,46520.17
65,71,84,60,13626,91702.98,6.73,0.11,1216,5698.48
80,71,67,60,70000,272300,3.89,0.06,3376,29674.91
80,71,67,60,3200,12000,3.75,0.06,166,1137.18
65,71,84,60,1379,2399.46,1.74,0.03,157,926.7
65,71,84,60,380,2120.4,5.58,0.09,21,895.38
65,65,84,120,10724,202683.6,18.9,0.16,2209,2994.63
80,71,79,240,4243,6067.49,1.43,0.01,1485,6819.73
65,71,84,60,13535,88248.2,6.52,0.11,3704,4562.72
65,71,84,30,30860,99060.6,3.21,0.11,19965,14767.58
65,71,84,60,157062,347107.02,2.21,0.04,15302,12757
65,71,84,30,20000,92600,4.63,0.15,2000,8499.16
65,71,84,30,30000,138900,4.63,0.15,3000,12748.74
65,71,84,30,15654,152783.04,9.76,0.33,112027,79514.44
65,65,84,120,9833,185843.7,18.9,0.16,2033,9482.19
65,71,84,60,71377,471088.2,6.6,0.11,6842,8689.22
80,71,84,90,2021,18795.3,9.3,0.1,132,1142
65,71,84,30,95597,443570.08,4.64,0.15,10656,20992.67
65,71,84,60,20000,154400,7.72,0.13,2924,5668.63
80,71,84,60,19996,78984.2,3.95,0.07,1119,1417.12
80,71,67,60,12080,23556,1.95,0.03,10314,12867.46
65,71,84,60,60000,681000,11.35,0.19,6949,11637.64
65,71,84,60,250,610,2.44,0.04,113,3504.8
65,71,84,60,4893,11938.92,2.44,0.04,235,1326.89
65,71,84,30,21563,124634.14,5.78,0.19,1864,8485
65,71,84,60,32850,95265,2.9,0.05,3917,39223.78
80,71,79,240,2691,5651.1,2.1,0.01,1021,5254.1
65,71,84,60,12000,105120,8.76,0.15,1088,4170.65
65,71,84,60,15000,40950,2.73,0.05,1444,124350.84
65,71,84,60,9455,202526.1,21.42,0.36,944,8022.59
65,71,67,60,3250,4647.5,1.43,0.02,216,9736.1
65,71,84,30,4955,58221.25,11.75,0.39,376,4468.34
65,71,84,60,40000,448800,11.22,0.19,4692,9736.1
65,71,84,60,2160,24235.2,11.22,0.19,5552,9736.1
80,71,79,240,471,942,2,0.01,221,3170.64
65,71,84,30,2579,12250.25,4.75,0.16,358,2485.92
65,71,84,30,22826,228260,10,0.33,2500,9736.1
65,71,84,60,20000,53200,2.66,0.04,1098,9736.1
65,71,84,60,72560,424476,5.85,0.1,5420,9736.1
65,71,84,60,5000,36050,7.21,0.12,276,2211.22
65,71,84,60,40000,109200,2.73,0.05,6240,27922.62
65,71,84,60,34769,304576.44,8.76,0.15,4176,1005.2
